"Document","Motif","Probability","Overlap Score","Precursor Mass","Retention Time","Document Annotation"
"document_1814","motif_271","0.344","0.023","508.2563","None","None"
"document_1814","motif_160","0.176","0.482","508.2563","None","None"
"document_1814","motif_77","0.128","0.331","508.2563","None","None"
"document_1815","motif_46","0.663","0.469","538.2258","None","None"
"document_1815","motif_95","0.153","0.364","538.2258","None","None"
"document_1816","motif_243","0.818","0.132","385.1468","None","None"
"document_1816","motif_71","0.148","0.827","385.1468","None","None"
"document_1817","motif_9","0.602","0.071","528.2053","None","None"
"document_1817","motif_108","0.187","0.580","528.2053","None","None"
"document_1817","motif_161","0.109","0.089","528.2053","None","None"
"document_1818","motif_54","0.571","0.570","265.1420","None","None"
"document_1818","motif_105","0.184","0.339","265.1420","None","None"
"document_1818","motif_157","0.089","0.641","265.1420","None","None"
"document_1818","motif_96","0.065","0.709","265.1420","None","None"
"document_1818","motif_147","0.064","0.240","265.1420","None","None"
"document_1819","motif_197","0.793","0.427","422.2852","None","None"
"document_1819","motif_71","0.096","0.784","422.2852","None","None"
"document_1819","motif_7","0.057","0.699","422.2852","None","None"
"document_182","motif_202","0.408","0.701","344.2266","None","None"
"document_182","motif_255","0.342","0.268","344.2266","None","None"
"document_182","motif_47","0.116","0.921","344.2266","None","None"
"document_182","motif_91","0.067","0.260","344.2266","None","None"
"document_1820","motif_329","0.576","0.498","1416.8700","None","None"
"document_1820","motif_202","0.345","0.472","1416.8700","None","None"
"document_1820","motif_71","0.065","0.778","1416.8700","None","None"
"document_1821","motif_237","1.000","0.043","516.4235","None","None"
"document_1822","motif_201","0.686","0.019","285.2342","None","None"
"document_1822","motif_141","0.105","0.158","285.2342","None","None"
"document_1822","motif_284","0.093","0.380","285.2342","None","None"
"document_1822","motif_114","0.069","0.177","285.2342","None","None"
"document_1823","motif_329","0.618","0.570","1068.7812","None","None"
"document_1823","motif_202","0.280","0.413","1068.7812","None","None"
"document_1823","motif_230","0.066","0.806","1068.7812","None","None"
"document_1824","motif_132","0.950","0.057","442.3507","None","None"
"document_1825","motif_131","0.968","0.030","214.1192","None","None"
"document_1826","motif_168","0.839","0.040","241.1174","None","None"
"document_1827","motif_85","0.792","0.688","502.1899","None","None"
"document_1827","motif_108","0.161","0.624","502.1899","None","None"
"document_1828","motif_211","0.639","0.828","663.4505","None","None"
"document_1828","motif_353","0.195","0.374","663.4505","None","None"
"document_1828","motif_180","0.106","0.357","663.4505","None","None"
"document_1828","motif_152","0.060","0.559","663.4505","None","None"
"document_1829","motif_211","0.595","0.828","680.4771","None","None"
"document_1829","motif_15","0.181","0.372","680.4771","None","None"
"document_1829","motif_284","0.088","0.380","680.4771","None","None"
"document_1829","motif_33","0.087","0.431","680.4771","None","None"
"document_183","motif_154","0.933","0.279","878.2787","None","None"
