Document	Motif	Probability	Overlap Score	Precursor Mass	Retention Time	Document Annotation	Motif_consensus	Motif_2	Proba_2	Overl_2	Motif_3	Proba_3	Overl_3	Motif_4	Proba_4	Overl_4	Motif_5	Proba_5	Overl_5	Motif_6	Proba_6	Overl_6	Motif_7	Proba_7	Overl_7	Motif_8	Proba_8	Overl_8	Motif_9	Proba_9	Overl_9
194	M116	0.4	0.12300000000000001	249.1837	None	None	M116,M281,M152	M281	0.308	0.175	M152	0.25	0.56																		
1940	M198	0.414	0.755	410.3093	None	None	M198,M60,M202,M170,M230	M60	0.22699999999999998	0.048	M202	0.098	0.804	M170	0.087	0.43200000000000005	M230	0.066	0.7979999999999999												
1941	M87	0.7070000000000001	0.023	333.1148	None	None	M87,M366,M364	M366	0.141	0.025	M364	0.139	0.051																		
1942	M297	0.758	0.084	234.1691	None	None	M297,M184	M184	0.166	0.621																					
1943	M198	0.622	0.8109999999999999	454.3352	None	None	M198,M230,M202,M170	M230	0.151	0.82	M202	0.124	0.888	M170	0.059000000000000004	0.445															
1944	M198	0.522	0.8079999999999999	570.3083	None	None	M198,M202,M316	M202	0.147	0.9359999999999999	M316	0.11599999999999999	0.10400000000000001																		
1945	M233	0.465	0.33299999999999996	453.3414	None	None	M233,M154,M371	M154	0.384	0.106	M371	0.145	0.91																		
1946	M43	0.39299999999999996	0.102	337.3277	None	None	M43,M220,M137,M47,M0	M220	0.204	0.489	M137	0.124	0.772	M47	0.086	0.9229999999999999	M0	0.055999999999999994	0.621												
1947	M101	0.6809999999999999	0.37200000000000005	358.2209	None	None	M101,M237,M266	M237	0.057999999999999996	0.7290000000000001	M266	0.051	0.636																		
1948	M117	0.762	0.02	356.2781	None	None	M117,M137	M137	0.171	0.966																					
1949	M235	0.816	0.031	465.1921	None	None	M235,M364	M364	0.18100000000000002	0.051																					
195	M107	0.498	0.258	223.0956	None	None	M107,M1,M142	M1	0.40399999999999997	0.309	M142	0.094	0.028999999999999998																		
1950	M147	0.22	0.242	323.1833	None	None	M147,M157,M302,M288,M102,M373	M157	0.152	0.528	M302	0.146	0.162	M288	0.081	0.318	M102	0.071	0.124	M373	0.055999999999999994	0.15									
1951	M71	0.78	0.8740000000000001	496.2724	None	None	M71,M316	M316	0.1	0.091																					
1952	M71	0.6729999999999999	0.8370000000000001	540.2981	None	None	M71,M160	M160	0.055999999999999994	0.39																					
1953	M238	0.882	0.595	208.1323	None	None	M238,M310,M33	M310	0.059000000000000004	0.258	M33	0.059000000000000004	0.433																		
1954	M306	0.988	0.078	300.2152	None	None	M306																								
1955	M97	0.752	0.248	313.1415	None	None	M97,M152,M157	M152	0.11599999999999999	0.634	M157	0.064	0.508																		
